Precio_BTC;Fecha;Precio_AAPL
9.281.975.921.500.890;19/11/2025;2.683.089.294.433.590
9.136.327.838.693.360;20/11/2025;2.660.010.986.328.120
8.664.997.257.918.220;21/11/2025;2.712.361.755.371.090
8.678.384.766.839.580;24/11/2025;2.756.620.788.574.210
8.822.935.740.719.760;25/11/2025;2.767.110.900.878.900
8.731.033.159.950.440;26/11/2025;27.729.052.734.375
9.127.906.057.176.420;28/11/2025;2.785.893.249.511.710
9.040.628.448.571.140;1/12/2025;2.828.353.576.660.150
8.628.149.519.776.910;2/12/2025;2.859.224.548.339.840
9.134.473.275.150.160;3/12/2025;2.838.843.688.964.840
9.361.943.750.817.100;4/12/2025;2.804.375.915.527.340
9.214.070.419.795.790;5/12/2025;2.785.193.786.621.090
9.016.290.714.007.120;8/12/2025;2.776.302.185.058.590
906.180.535.204.608;9/12/2025;2.769.208.679.199.210
9.272.321.372.069.630;10/12/2025;2.785.193.786.621.090
9.200.513.714.957.410;11/12/2025;27.777.008.056.640.600
9.249.417.691.640.410;12/12/2025;2.780.198.669.433.590
8.823.077.409.367.910;15/12/2025;2.738.537.292.480.460
864.139.190.195.637;16/12/2025;274.353.271.484.375
8.782.188.919.109.130;17/12/2025;27.158.587.646.484.300
8.606.494.716.216;18/12/2025;271.935.546.875
854.503.312.009.302;19/12/2025;2.734.141.845.703.120
8.857.742.038.358.830;22/12/2025;2.707.166.748.046.870
8.849.112.020.788.100;23/12/2025;2.721.053.771.972.650
8.740.643.636.737.970;24/12/2025;27.355.401.611.328.100
8.722.978.066.010.940;26/12/2025;2.731.444.091.796.870
8.782.290.829.076.790;29/12/2025;27.350.408.935.546.800
8.715.656.266.080.110;30/12/2025;27.282.470.703.125
8.841.462.856.073.360;31/12/2025;2.716.058.349.609.370
8.872.767.004.249.740;2/1/2026;27.075.665.283.203.100
9.137.321.588.108.430;5/1/2026;2.670.101.623.535.150
939.267.956.485.658;6/1/2026;2.621.147.155.761.710
9.366.686.387.314.300;7/1/2026;26.008.660.888.671.800
9.125.715.544.035.900;8/1/2026;2.587.978.515.625
9.098.351.578.142.620;9/1/2026;2.591.275.329.589.840
9.081.936.598.904.190;12/1/2026;2.600.067.138.671.870
9.113.496.917.951.500;13/1/2026;2.608.059.387.207.030
952.604.422.971.001;14/1/2026;25.971.697.998.046.800
9.700.778.078.881.270;15/1/2026;2.579.685.974.121.090
9.558.482.797.878.510;16/1/2026;25.529.112.243.652.300
9.255.846.334.372.140;20/1/2026;24.646.937.561.035.100
8.831.284.053.255.550;21/1/2026;24.741.848.754.882.800
8.935.434.377.512.120;22/1/2026;2.481.178.436.279.290
8.944.339.744.146.900;23/1/2026;24.780.812.072.753.900
8.654.832.213.469.820;26/1/2026;25.517.123.413.085.900
883.078.612.070.438;27/1/2026;2.580.285.339.355.460
8.920.422.239.644.520;28/1/2026;2.562.002.868.652.340
8.916.209.701.574.950;29/1/2026;2.580.385.437.011.710
8.457.040.906.135.930;30/1/2026;2.592.374.267.578.120
7.693.706.406.636.830;2/2/2026;2.697.575.988.769.530
